Filename,Mean_Conditional_Entropy
bn_n100_w2_concentrated_bias_high.bif,0.5376729719655596
bn_n100_w2_concentrated_bias_low.bif,0.5653858147356726
bn_n100_w2_rigid_extreme.bif,0.3660321898635221
bn_n100_w2_rigid_moderate.bif,0.540259367847808
bn_n100_w2_spread_bias_high.bif,0.486589013974723
bn_n100_w2_spread_bias_low.bif,0.5237813578317627
bn_n100_w2_uncertain_moderate.bif,0.9081884324294096
bn_n100_w2_uncertain_strong.bif,0.9593759539656028
bn_n100_w2_uniform.bif,0.7137636931544731
bn_n100_w6_concentrated_bias_high.bif,0.5903466758913455
bn_n100_w6_concentrated_bias_low.bif,0.5510068586742809
bn_n100_w6_rigid_extreme.bif,0.3465593430802192
bn_n100_w6_rigid_moderate.bif,0.558177304770513
bn_n100_w6_spread_bias_high.bif,0.5240288095394824
bn_n100_w6_spread_bias_low.bif,0.49221927128653825
bn_n100_w6_uncertain_moderate.bif,0.8834935842712792
bn_n100_w6_uncertain_strong.bif,0.9640586679319465
bn_n100_w6_uniform.bif,0.7392581803017326
bn_n200_w2_concentrated_bias_high.bif,0.5339274747062623
bn_n200_w2_concentrated_bias_low.bif,0.569244429566656
bn_n200_w2_rigid_extreme.bif,0.3330828438510007
bn_n200_w2_rigid_moderate.bif,0.5468542175569509
bn_n200_w2_spread_bias_high.bif,0.4942651071073486
bn_n200_w2_spread_bias_low.bif,0.5084522268809503
bn_n200_w2_uncertain_moderate.bif,0.8893351181672026
bn_n200_w2_uncertain_strong.bif,0.9642672691357695
bn_n200_w2_uniform.bif,0.7161212866006591
bn_n200_w6_concentrated_bias_high.bif,0.5515863077757761
bn_n200_w6_concentrated_bias_low.bif,0.5500568555038763
bn_n200_w6_rigid_extreme.bif,0.33420615202823895
bn_n200_w6_rigid_moderate.bif,0.5735009021326557
bn_n200_w6_spread_bias_high.bif,0.5358203194643
bn_n200_w6_spread_bias_low.bif,0.4983530889245759
bn_n200_w6_uncertain_moderate.bif,0.8864245884354329
bn_n200_w6_uncertain_strong.bif,0.9647088380696313
bn_n200_w6_uniform.bif,0.6952350695000358
bn_n20_w2_concentrated_bias_high.bif,0.5423976720912929
bn_n20_w2_concentrated_bias_low.bif,0.5989646658602279
bn_n20_w2_rigid_extreme.bif,0.28906517322713216
bn_n20_w2_rigid_moderate.bif,0.6122750774092879
bn_n20_w2_spread_bias_high.bif,0.5251945367593812
bn_n20_w2_spread_bias_low.bif,0.4714543496991649
bn_n20_w2_uncertain_moderate.bif,0.8946604565160058
bn_n20_w2_uncertain_strong.bif,0.9630735831512253
bn_n20_w2_uniform.bif,0.7008705733266679
bn_n20_w6_concentrated_bias_high.bif,0.580288134995252
bn_n20_w6_concentrated_bias_low.bif,0.5382773539726038
bn_n20_w6_rigid_extreme.bif,0.2432462555064107
bn_n20_w6_rigid_moderate.bif,0.609936579069965
bn_n20_w6_spread_bias_high.bif,0.512741457257739
bn_n20_w6_spread_bias_low.bif,0.49938227424513776
bn_n20_w6_uncertain_moderate.bif,0.8928330297315494
bn_n20_w6_uncertain_strong.bif,0.9657239272099476
bn_n20_w6_uniform.bif,0.7291408723699224
bn_n50_w2_concentrated_bias_high.bif,0.5306481146621234
bn_n50_w2_concentrated_bias_low.bif,0.5183869295653086
bn_n50_w2_rigid_extreme.bif,0.3169049876342226
bn_n50_w2_rigid_moderate.bif,0.5046129954164109
bn_n50_w2_spread_bias_high.bif,0.4733533684108743
bn_n50_w2_spread_bias_low.bif,0.48961709851269447
bn_n50_w2_uncertain_moderate.bif,0.8921745355337262
bn_n50_w2_uncertain_strong.bif,0.9656589357628126
bn_n50_w2_uniform.bif,0.7248824829375369
bn_n50_w6_concentrated_bias_high.bif,0.5456048752660435
bn_n50_w6_concentrated_bias_low.bif,0.5704743799947533
bn_n50_w6_rigid_extreme.bif,0.362840045076114
bn_n50_w6_rigid_moderate.bif,0.5679807603093936
bn_n50_w6_spread_bias_high.bif,0.527762198571336
bn_n50_w6_spread_bias_low.bif,0.5248339184630442
bn_n50_w6_uncertain_moderate.bif,0.894222114469279
bn_n50_w6_uncertain_strong.bif,0.9662502976301289
bn_n50_w6_uniform.bif,0.716251525084954
